Days passed,VET,VPU,APY
0,1508.5225071463385,703.761590646197,0.0
1,1842.8220437377784,576.7275651599316,-6.962245679346652
2,1955.4539362897765,543.9257499719325,-5.774909022435135
3,1974.7865262533287,540.4132913882099,-3.900302567393754
4,2180.332397065817,490.6681426078178,-5.418882658328074
5,2168.141494893729,495.3059678475482,-4.0265700810778124
6,2136.625386369408,502.7401845794967,-3.062971515776555
7,2135.296430844612,503.7852655339725,-2.568051070519876
8,2126.1299489763205,506.1895260937216,-2.17348559314553
