Days passed,VET,VTHO,APY
0,18233.9,202399.0,0.0
1,18240.7,202437.0,0.0955653938996325
2,18074.7,204470.0,0.0977724467572715
3,18175.5,203621.0,0.1655443571599424
4,18384.8,201399.0,0.1445030870400243
5,17872.330320696336,207399.29589616304,0.1348942427194785
6,17507.924018592734,211859.31217854656,0.0903222996916621
7,17724.75652921601,209352.84713362603,0.110681069084571
8,17418.91735150675,213132.2761092645,0.0748012785359339
9,17775.164089698923,209222.5906535549,0.1315949869234605
10,17898.721696540426,207830.92838311335,0.12876423430202744
